ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20240621.63971.97,autocal-thar-all-morn,True,regular,44.794,74.793,87.538,170.341,67.967,78.555,159.058,190.497,391.488,151.866,10.0,10.061,2024-06-21 17:46:16.998000,60482.740416
KP.20240905.07443.68,autocal-thar-all-eve,True,regular,56.543,83.73,89.941,410.272,196.753,102.351,190.265,212.316,958.201,476.099,20.0,20.0,2024-09-05 02:04:13.685000,60558.086154
KP.20241012.06053.41,autocal-thar-sci-eve,True,regular,6.075,6.072,11.768,44.612,26.093,42.656,89.849,78.718,697.534,243.159,20.0,20.111,2024-10-12 01:41:03.461000,60595.070061
KP.20241026.06511.49,autocal-thar-sky-eve,True,regular,6.511,5.887,9.455,33.836,16.14,10.301,9.09,20.517,85.316,39.694,20.0,20.0,2024-10-26 01:48:41.494000,60609.075362
KP.20230103.64108.25,autocal-thar-all,True,,,,,,,,,,,,2.0,2.0,2023-01-03 17:48:29.353000,59947.74199
KP.20230103.64172.20,autocal-thar-all,True,,,,,,,,,,,,2.0,2.0,2023-01-03 17:49:33.312000,59947.742734
KP.20241223.63916.59,autocal-thar-all-morn,True,regular,22.039,39.251,31.742,276.722,56.622,37.067,80.483,77.118,676.351,187.306,20.0,20.015,2024-12-23 17:45:26.598000,60667.739774
KP.20230710.05009.74,autocal-thar-sci-eve,True,regular,4.8,4.9,0.8,24.7,8.8,42.0,90.2,96.5,234.7,136.2,10.0,10.0,2023-07-10 01:23:34.754000,60135.057982
KP.20241223.63985.16,autocal-thar-all-morn,True,regular,21.694,38.652,32.621,276.883,57.882,37.066,81.16,76.787,678.825,189.418,20.0,20.001,2024-12-23 17:46:35.173000,60667.740565
KP.20240617.63679.82,autocal-thar-all-morn,True,regular,44.87,74.255,86.126,171.604,67.891,78.347,158.34,188.341,391.321,149.916,10.0,10.013,2024-06-17 17:41:24.829000,60478.737036
KP.20230719.05540.23,autocal-thar-sky-eve,True,regular,4.8,4.8,2.7,12.4,4.8,9.4,9.4,-0.5,37.5,15.4,10.0,10.016,2023-07-19 01:32:25.235000,60144.064123
KP.20230710.05465.24,autocal-thar-sky-eve,True,regular,5.0,4.8,2.5,12.6,4.7,9.8,9.2,-0.5,37.7,15.7,10.0,10.018,2023-07-10 01:31:10.245000,60135.063253
KP.20230924.63678.04,autocal-thar-all-morn,True,regular,8.736,15.826,17.169,49.264,29.589,25.524,56.234,64.066,158.123,92.936,10.0,10.0,2023-09-24 17:41:23.078000,60211.737014
KP.20250702.08198.89,autocal-thar-all-eve,True,regular,56.028,88.949,96.651,450.236,255.253,104.728,205.29,229.872,1058.094,617.442,20.0,20.018,2025-07-02 02:16:48.895000,60858.09489
KP.20230924.63913.43,autocal-thar-all-morn,True,regular,8.622,15.887,16.863,49.416,30.114,25.267,56.63,64.191,158.674,94.309,10.0,10.0,2023-09-24 17:45:18.438000,60211.739735
KP.20231113.07206.48,autocal-thar-all-eve,True,regular,9.799,17.655,18.027,54.454,31.823,26.796,60.262,66.336,165.535,98.086,10.0,10.026,2023-11-13 02:00:11.497000,60261.083406
KP.20250701.15807.13,autocal-thar-all-night,True,regular,38.479,62.076,61.864,383.943,160.949,69.359,138.715,146.316,921.268,402.565,20.0,20.0,2025-07-01 04:23:37.140000,60857.182951
KP.20240620.07000.94,autocal-thar-all-eve,True,regular,45.042,74.134,85.91,169.377,67.877,78.674,158.146,188.896,390.212,149.904,10.0,10.016,2024-06-20 01:56:45.951000,60481.081025
KP.20230102.21489.23,Th_daily_extended_all,True,,,,,,,,,,,,2.0,2.0,2023-01-02 05:58:10.337000,59946.248716
KP.20250701.15875.45,autocal-thar-all-night,True,regular,38.728,63.004,63.544,384.989,161.192,70.165,143.14,149.879,922.973,409.731,20.0,20.0,2025-07-01 04:24:45.464000,60857.183742
KP.20230102.23094.70,Th_daily_extended_all,True,,,,,,,,,,,,2.0,2.0,2023-01-02 06:24:55.808000,59946.267299
KP.20230102.24233.82,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-02 06:43:54.933000,59946.28048
KP.20230102.28473.16,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-02 07:54:34.265000,59946.32955
KP.20230102.28922.70,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-02 08:02:03.804000,59946.33475
KP.20240614.05919.59,autocal-thar-sci-eve,True,regular,5.333,6.689,11.636,32.072,17.475,80.313,160.373,188.989,349.408,132.489,10.0,10.015,2024-06-14 01:38:44.599000,60475.068515
KP.20230102.30142.09,Th_daily_all_extended,True,,,,,,,,,,,,2.0,2.0,2023-01-02 08:22:23.194000,59946.348864
KP.20230921.06491.23,autocal-thar-sky-eve,True,regular,4.8,4.6,3.7,8.5,4.6,9.2,9.3,4.1,25.6,12.3,10.0,10.017,2023-09-21 01:48:16.243000,60208.075126
KP.20230921.07113.43,autocal-thar-all-eve,True,regular,8.5,16.0,16.8,48.9,30.2,25.9,56.6,63.3,158.1,92.2,10.0,10.0,2023-09-21 01:58:38.464000,60208.082327
