ObsID,OBJECT,NOTJUNK,READSPED,SNRCL452,SNRCL548,SNRCL652,SNRCL747,SNRCL852,SNRSC452,SNRSC548,SNRSC652,SNRSC747,SNRSC852,EXPTIME,ELAPSED,DATE-MID,MJD-OBS
KP.20240201.79107.63,lfc-ccd-warmup-test,True,regular,7.375,288.818,188.014,181.98,409.82,15.672,742.124,723.784,637.047,629.367,30.0,30.0,2024-02-01 21:58:42.637000,60341.915595
KP.20240201.82211.56,lfc-ccd-warmup-test,True,regular,-7.393,209.099,93.438,52.007,57.797,-18.476,544.854,375.633,186.228,92.884,30.0,30.019,2024-02-01 22:50:26.570000,60341.95152
KP.20240201.82290.39,lfc-ccd-warmup-test,True,regular,-5.54,209.251,87.295,51.914,58.882,-14.995,546.25,345.297,186.494,93.39,30.0,30.0,2024-02-01 22:51:45.396000,60341.952435
KP.20241210.34125.58,autocal-lfc-all-midnight,True,regular,215.053,476.479,327.659,461.28,984.417,417.368,1216.887,1249.483,1245.596,1295.98,60.0,60.019,2024-12-10 09:29:15.589000,60654.394973
KP.20230925.11307.57,autocal-lfc-all-eve,True,regular,-7.449,277.945,228.094,153.382,212.15,-15.278,673.616,717.612,673.379,653.546,60.0,60.025,2023-09-25 03:08:57.584000,60212.130875
KP.20221109.25730.67,,,,,,,,,,,,,,10.0,,2022-11-09 07:08:55.813000,59892.297807
KP.20221109.26016.06,,,,,,,,,,,,,,10.0,,2022-11-09 07:13:41.170000,59892.301112
KP.20251127.33651.34,autocal-lfc-all-midnight,True,regular,9.071,265.421,336.823,383.279,475.428,21.347,821.878,1138.803,1656.973,2872.718,20.0,20.0,2025-11-27 09:21:01.350000,61006.389481
KP.20230521.63563.74,autocal-lfc-all-morn,True,regular,-4.0,255.2,316.6,396.1,792.4,-7.3,443.7,613.4,834.1,1795.2,60.0,60.0,2023-05-21 17:39:53.844000,60085.735688
KP.20230118.74463.73,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 20:41:33.838000,59962.861849
KP.20260404.12495.80,autocal-lfc-all-eve,True,regular,27.179,258.854,170.762,216.968,222.691,90.209,909.83,656.586,1065.215,1632.368,10.0,10.015,2026-04-04 03:28:20.805000,61134.144625
KP.20240304.11538.56,autocal-lfc-all-eve,True,regular,6.61,213.738,168.011,110.603,150.961,12.923,464.047,486.4,449.469,442.555,60.0,60.02,2024-03-04 03:12:48.566000,60373.133548
KP.20240307.11222.87,autocal-lfc-all-eve,True,regular,6.284,205.318,161.927,108.217,155.746,12.141,445.901,464.966,440.514,457.671,60.0,60.022,2024-03-07 03:07:32.886000,60376.129893
KP.20240921.12139.80,autocal-lfc-all-eve,True,regular,-12.486,357.111,194.048,132.681,247.248,-29.736,814.734,608.624,558.004,573.029,60.0,60.02,2024-09-21 03:22:49.814000,60574.140508
KP.20240921.12248.55,autocal-lfc-all-eve,True,regular,-13.573,372.723,196.24,133.527,246.426,-32.242,849.213,616.369,560.225,568.504,60.0,60.069,2024-09-21 03:24:38.582000,60574.141765
KP.20240515.67328.46,autocal-lfc-all-morn,True,regular,-7.636,299.803,235.552,166.993,252.875,-21.419,657.915,687.201,683.573,763.079,60.0,60.0,2024-05-15 18:42:38.467000,60445.779265
KP.20240502.34525.30,autocal-lfc-all-midnight,True,regular,5.789,222.746,172.735,117.075,168.449,10.473,488.222,507.921,481.105,501.243,60.0,60.0,2024-05-02 09:35:55.314000,60432.399599
KP.20240717.11875.67,autocal-lfc-all-eve,True,regular,-23.84,404.442,290.535,192.295,320.848,-54.491,891.681,886.223,800.441,780.215,60.0,60.0,2024-07-17 03:18:25.685000,60508.137447
KP.20231019.11372.04,autocal-lfc-all-eve,True,regular,-2.833,161.452,77.932,53.98,81.642,-5.676,392.417,250.616,238.393,232.553,60.0,60.001,2023-10-19 03:10:02.074000,60236.131619
KP.20230107.80474.38,LFC_all,True,regular,,,,,,,,,,,60.0,60.0,2023-01-07 22:21:44.492000,59951.931417
KP.20230107.80596.58,LFC_all,True,regular,,,,,,,,,,,60.0,60.0,2023-01-07 22:23:46.686000,59951.932827
KP.20230106.17915.35,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-06 04:59:05.457000,59950.207354
KP.20240716.11546.40,autocal-lfc-all-eve,True,regular,7.012,465.857,263.119,130.462,144.6,13.283,1019.14,764.87,533.069,439.804,60.0,60.0,2024-07-16 03:12:56.435000,60507.13364
KP.20230106.82125.63,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-06 22:49:15.744000,59950.950523
KP.20260329.12387.64,autocal-lfc-all-eve,True,regular,66.728,109.171,319.224,212.194,229.413,233.835,385.548,1225.208,1009.736,1650.103,10.0,10.0,2026-03-29 03:26:32.651000,61128.143375
KP.20240921.33957.17,autocal-lfc-all-midnight,True,regular,-21.573,342.036,239.476,162.555,306.434,-49.076,773.816,755.029,686.891,711.231,60.0,60.0,2024-09-21 09:26:27.180000,60574.39302
KP.20230915.72328.67,autocal-lfc-all-morn,True,regular,-4.478,198.962,159.972,106.056,152.262,-8.034,486.091,507.622,476.611,454.26,60.0,60.0,2023-09-15 20:05:58.694000,60202.837137
KP.20230429.77632.23,cal-LFC-morn,True,regular,306.0,325.2,338.9,310.9,898.1,450.9,581.7,700.5,712.2,2134.2,60.0,60.0,2023-04-29 21:32:20.019000,60063.897098
KP.20260124.11675.85,autocal-lfc-all-eve,True,regular,-2.899,278.947,187.534,119.119,128.13,35.961,934.246,701.503,565.356,892.292,10.0,10.018,2026-01-24 03:14:40.855000,61064.135135
KP.20230701.07013.44,manualcal-fast-lfc-all-eve,True,fast,,,145.4,175.5,325.9,,,284.0,367.4,728.9,60.0,60.0,2023-07-01 01:57:23.445000,60126.081172
KP.20251226.33555.91,autocal-lfc-all-midnight,True,regular,-11.413,257.459,185.621,118.758,129.609,-21.679,832.143,671.721,551.555,905.697,10.0,10.02,2025-12-26 09:19:20.916000,61035.388375
KP.20231222.11422.56,autocal-lfc-all-eve,True,regular,6.977,220.112,175.716,121.963,196.871,13.834,519.348,552.37,533.472,546.093,60.0,60.02,2023-12-22 03:10:52.573000,60300.132203
KP.20250109.34233.76,autocal-lfc-all-midnight,True,regular,203.761,526.039,353.805,474.323,1018.646,392.547,1318.322,1336.644,1337.114,1371.934,60.0,60.0,2025-01-09 09:31:03.767000,60684.396223
KP.20230118.76417.97,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 21:14:08.075000,59962.884468
KP.20230118.76540.23,LFC_all,True,,,,,,,,,,,,60.0,60.0,2023-01-18 21:16:10.338000,59962.885879
KP.20240201.51096.92,lfc-ccd-warmup-test,True,regular,9.892,302.671,197.574,189.381,407.822,21.214,776.771,762.346,656.056,627.223,30.0,30.014,2024-02-01 14:11:51.927000,60341.591397
KP.20240201.51490.62,lfc-ccd-warmup-test,True,regular,10.906,301.653,197.538,190.419,407.083,23.653,776.15,762.231,656.6,626.249,30.0,30.001,2024-02-01 14:18:25.625000,60341.595954
KP.20240201.76191.69,lfc-ccd-warmup-test,True,regular,7.24,303.116,193.44,185.783,412.276,15.195,779.189,749.757,644.179,635.051,30.0,30.0,2024-02-01 21:10:06.695000,60341.881848
